1, excellent sardarji i overlooked your tweet 
2,what kind of dissent it the congi has accepted it that they cant fight bjp ideologically rahulgandhi your yesterdays bharatbandh was planned by you to insult a sitting pm of india in public shehzad_
3,oppressor india has ruined the lives of thousands of kashmiri mothers fathers sons and daughters in indian occupied kashmir kashmir wants freedom from brutal india lets pray year a hope of happiness freedom for kashmir amin leburupaseka
4,fbhutto it is mere speculation if it turns out to be true then we shall join you in condemning this decision and getting it reversed in the meantime do you mind tweeting about indian occupation forces brutalising kashmiris thanks
5,if you are still breathing in the bleeding kashmir valley congratulations you are among privileged minority 
6, girlthatsvonte yall still going trick or treating this year or yeah ima be da sweet tooth bandit steal bitches bags n shit
7,girllssues i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck
8,hiimjorib i would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place
9,a basic rundown of trump taking a dump in the oval office with his racist rants remember who lied for him and who kept silent
10,trump celebrates martin luther king day impeach trump
11,kale stems just popped up from the garbage disposal attacking my it was a wild beast cause all i could hear was woah happy
12,oops i wasnt near my phone most the night i just sent you a text happy
13,congresscheatsmuslimsdalits agreed its anti hindu party also bjp and secular parts has same view on ayodhyarammandir wait for sc jusgement ok if due to conspiracy of lw sc declines us mandir can bjp say now it would make law to build rammandir any clarity amitshah
14,trollsangh to birth as a poor is normal but to die as a poor is geeta bro they are poor because of their karma they dont do anything and want everything thats why they are in street ayodhyarammandir ayodhya rammandir
15,woman faces online abuse after announcing plans to visit sabrimala
16,sabrimala verdict by secular sc n secular news rapidly and regularly encroaching on dharmic issues has been made thousands if not millions of dharmics are marching the streets to protect of ayypa sadly many fake warriors fail to understand basics
17,we have to keep showing what these sharia law lovers really mean amazing more people up in arms so to speak death by beheading to all nonbelievers they mean it and are shouting it to the rooftops in all their mosques close them down islam is the problem
18,sarsour sucks a liar and bent on sharia law and muslim rule including death to all infidels which includes all christians and americans bansharia islam is the problem 
19,salafi islam and jihad are cancer that is eating at the bones of not only the middleeast but the whole world i curse all those who believe in it those suicide bombers who killed and injured these people died and there is no paradise that await them their eyes opened in hell
20,imams against jihad living in peace with all of humanity a most welcome message in the midst of growing fundamentalism in the muslim world 
21,white people need to stop acting like black people existing is an afront to their safety 
22,if you are concerned about antisemitism and you should also be concerned about racism against blacks against africans by non blacks
23,you are murderer of indian democracy i regret voting for you go back modi
24,had u seen tamilians unity they trended gobackmodi worldwide and betrayed modi and treated him like a coward
25,manafort should be sentenced to prison for the rest of his life hope this traitor rots in jail truth trumprussia trumpputin
26,can this lying dumb broad pressec have a press conference where she doesnt mention former potus obama barackobama trumpputin
